customer_id,age,age_group,gender,region,device,subscription_type,monthly_fee,annual_value,payment_method,number_of_profiles,favorite_genre,watch_hours,avg_watch_time_per_day,engagement_level,last_login_days,recency_flag,churned,churn_status,revenue_at_risk
a9b75100-82a8-427a-a208-72f24052884a,51,46-55,Other,Africa,TV,Basic,8.99,107.88,Gift Card,1,Action,14.73,0.49,Medium,29,At Risk,1,Churned,8.99
49a5dfd9-7e69-4022-a6ad-0a1b9767fb5b,47,46-55,Other,Europe,Mobile,Standard,13.99,167.88,Gift Card,5,Sci-Fi,0.7,0.03,Low,19,Active,1,Churned,13.99
4d71f6ce-fca9-4ff7-8afa-197ac24de14b,27,26-35,Female,Asia,TV,Standard,13.99,167.88,Crypto,2,Drama,16.32,1.48,High,10,Active,0,Retained,0.0
d3c72c38-631b-4f9e-8a0e-de103cad1a7d,53,46-55,Other,Oceania,TV,Premium,17.99,215.88,Crypto,2,Horror,4.51,0.35,Medium,12,Active,1,Churned,17.99
4e265c34-103a-4dbb-9553-76c9aa47e946,56,56+,Other,Africa,Mobile,Standard,13.99,167.88,Crypto,2,Action,1.89,0.13,Low,13,Active,1,Churned,13.99
d8079475-5be7-47e9-8782-ceb7ff61395e,58,56+,Female,Oceania,Mobile,Standard,13.99,167.88,Debit Card,3,Action,13.8,0.51,Medium,26,At Risk,0,Retained,0.0
8e63450a-13d6-4e83-bbb5-6aebde9152cb,48,46-55,Other,Asia,TV,Basic,8.99,107.88,Gift Card,5,Romance,13.83,0.66,High,20,Active,0,Retained,0.0
02387681-8c42-462a-807a-de0168c73b38,51,46-55,Male,Europe,Mobile,Basic,8.99,107.88,Gift Card,1,Action,14.3,0.25,Medium,56,At Risk,1,Churned,8.99
0bcaad0c-545c-4ee1-85a6-75e165f39361,45,36-45,Other,Asia,Mobile,Basic,8.99,107.88,PayPal,3,Romance,9.98,0.91,High,10,Active,0,Retained,0.0
eae6439e-8cdf-4258-ab49-c493925b927a,32,26-35,Other,Europe,TV,Premium,17.99,215.88,Debit Card,1,Drama,2.22,0.06,Low,34,At Risk,1,Churned,17.99
45a03ce3-26d0-4cd5-a9bd-22d42490b612,26,26-35,Male,Asia,Laptop,Premium,17.99,215.88,Debit Card,4,Comedy,15.42,0.42,Medium,36,At Risk,0,Retained,0.0
